WELLNESS.BO,WELLNESS NONI LTD.,BSE,India,,0,,
WNGRF,George Weston Limited,PNK,USA,,0,,This ticker symbol list was downloaded from
ECV.L,Eco City Vehicles plc,LSE,UK,Auto Dealerships,744,,http://investexcel.net/all-yahoo-finance-stock-tickers/
RXNRP,REX ENERGY CORP,PNK,USA,,0,,and was updated in January 2016
HAL,Halliburton Company,NYQ,USA,Oil & Gas Equipment & Services,124,,
MCF,Contango Oil & Gas Company,ASE,USA,Independent Oil & Gas,121,,Please link to 
ADRO.JK,ADARO ENERGY TBK IDR100,JKT,Indonesia,,0,,http://investexcel.net/all-yahoo-finance-stock-tickers/
CASS,"Cass Information Systems, Inc.",NMS,USA,Business Services,760,,if you find this spreadsheet useful
YESB.BO,YESB CNV 15-OCT 600.00,BSE,India,,0,,
ORN.MX,L'OREAL,MEX,Mexico,,0,,
EUGFF,Dundee Energy Limited,PNK,USA,,0,,
BKS3.F,BBS KRAFTFAHRZG VZ,FRA,Germany,Auto Parts,333,,
M0X.F,MPLX,FRA,Germany,,0,,
9957.TWO,YUSCO,TWO,Taiwan,,0,,
XXNCC,DEL TACO RESTAURANT ,PNK,USA,,0,,
APH.MX,AMPHENOL-A,MEX,Mexico,,0,,
KAJ.DU,KAJIMA,DUS,Germany,General Contractors,636,,
1904.TW,Cheng Loong Corp.,TAI,Taiwan,Paper & Paper Products,324,,
MHN.L,Menhaden Capital,LSE,UK,,0,,
QTS.BE,QUINTILES TRANSNAT,BER,Germany,,0,,
VMPT,"VAMPT AMERICA, INC.",PNK,USA,,0,,
GGB,Gerdau S.A.,NYQ,USA,Steel & Iron,130,,
DNO.BE,DENSO,BER,Germany,Auto Parts,333,,
WM1.MU,WILLIAMS-SONOMA,MUN,Germany,"Specialty Retail, Other",745,,
WDI.EX,WIRECARD,EUX,Germany,,0,,
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.,IST,Turkey,,0,,
SFCL.NS,Star Ferro and Cement Limited,NSI,India,General Building Materials,634,,
PZBW,Plaza Bank,PNK,USA,Regional - Pacific Banks,416,,
7198.KL,DPS Resources Bhd,KLS,Malaysia,,0,,
RIGL,"Rigel Pharmaceuticals, Inc.",NMS,USA,Drugs - Generic,512,,
